subject,trial,image,tracking data
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.46973"" FPOGX=""0.50805"" FPOGY=""0.57696"" FPOGS=""12.28847"" FPOGD=""0.18126"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.51682"" BPOGY=""0.57470"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.48724"" FPOGX=""0.50977"" FPOGY=""0.57792"" FPOGS=""12.28847"" FPOGD=""0.19878"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.53033"" BPOGY=""0.58946"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.50247"" FPOGX=""0.51116"" FPOGY=""0.57904"" FPOGS=""12.28847"" FPOGD=""0.21400"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.52924"" BPOGY=""0.59360"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.51870"" FPOGX=""0.51108"" FPOGY=""0.58076"" FPOGS=""12.28847"" FPOGD=""0.23023"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.51000"" BPOGY=""0.60482"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.53509"" FPOGX=""0.51074"" FPOGY=""0.58129"" FPOGS=""12.28847"" FPOGD=""0.24662"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.50559"" BPOGY=""0.58927"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.55158"" FPOGX=""0.51038"" FPOGY=""0.58201"" FPOGS=""12.28847"" FPOGD=""0.26311"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.50461"" BPOGY=""0.59358"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.56797"" FPOGX=""0.50976"" FPOGY=""0.58182"" FPOGS=""12.28847"" FPOGD=""0.27950"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.49919"" BPOGY=""0.57854"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.58457"" FPOGX=""0.50858"" FPOGY=""0.58363"" FPOGS=""12.28847"" FPOGD=""0.29610"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.48734"" BPOGY=""0.61615"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.60104"" FPOGX=""0.50747"" FPOGY=""0.58547"" FPOGS=""12.28847"" FPOGD=""0.31257"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.48636"" BPOGY=""0.62044"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.61747"" FPOGX=""0.50699"" FPOGY=""0.58724"" FPOGS=""12.28847"" FPOGD=""0.32900"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.49739"" BPOGY=""0.62276"" BPOGV=""1"" />
"
